City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Sitka,US,2021-09-25 06:08:38,57.0531,-135.33,48.09,81,75,6.91
138,Vigeland,NO,2021-09-25 06:08:38,58.0844,7.305,53.06,78,37,14.61
139,Turbat,PK,2021-09-25 06:08:39,26.0023,63.044,95.23,28,73,4.92
140,Dawson Creek,CA,2021-09-25 06:08:39,55.7666,-120.2362,54.12,62,100,6.49
141,Talnakh,RU,2021-09-25 06:08:40,69.4865,88.3972,40.26,52,46,1.41
142,Znamenskoye,RU,2021-09-25 06:08:40,57.1281,73.8282,42.98,73,80,8.68
143,Sorland,NO,2021-09-25 06:08:41,67.667,12.6934,46.26,87,75,3.44
144,Gioia Tauro,IT,2021-09-25 06:08:41,38.424,15.899,76.51,46,0,3.83
145,Lagoa,PT,2021-09-25 06:08:41,39.05,-27.9833,69.91,83,100,21.25
146,Gimli,CA,2021-09-25 06:08:42,50.6336,-96.9907,48.61,73,99,10.69
147,Sungaipenuh,ID,2021-09-25 06:08:42,-2.0833,101.3833,77.83,74,70,0.85
148,Oistins,BB,2021-09-25 06:08:43,13.0667,-59.5333,80.69,89,40,6.91
149,Bilma,NE,2021-09-25 06:08:43,18.6853,12.9164,81.54,15,36,6.96
150,Lebu,CL,2021-09-25 06:08:44,-37.6167,-73.65,51.84,94,15,5.19
151,Georgetown,MY,2021-09-25 06:05:48,5.4112,100.3354,89.53,66,20,6.91
152,Martorell,ES,2021-09-25 06:08:44,41.474,1.9306,73.54,82,75,1.01
153,Umirim,BR,2021-09-25 06:08:45,-3.6772,-39.3503,79.68,82,49,6.15
154,Yushala,RU,2021-09-25 06:08:46,57.0761,64.2601,51.55,41,36,1.25
155,Kruisfontein,ZA,2021-09-25 06:08:46,-34.0033,24.7314,58.89,56,38,5.88
156,Batagay-Alyta,RU,2021-09-25 06:08:47,67.8006,130.4114,36.1,70,73,2.15
157,Lakatoro,VU,2021-09-25 06:08:47,-16.0999,167.4164,79.14,79,96,10.11
158,Barcelona,ES,2021-09-25 06:06:57,41.3888,2.159,73.72,85,40,1.99
159,Nanortalik,GL,2021-09-25 06:08:48,60.1432,-45.2371,36.43,59,0,7.23
160,Altus,US,2021-09-25 06:08:49,34.6381,-99.334,64.51,51,1,6.91
161,Samana,DO,2021-09-25 06:08:49,19.2056,-69.3369,76.89,91,49,1.81
162,Flinders,AU,2021-09-25 06:08:50,-34.5833,150.8552,62.2,76,92,12.8
163,Cap Malheureux,MU,2021-09-25 06:08:50,-19.9842,57.6142,77.47,62,10,11.99
164,Marawi,PH,2021-09-25 06:08:51,7.9986,124.2928,72.64,83,97,3.62
165,Thompson,CA,2021-09-25 06:04:22,55.7435,-97.8558,38.89,94,93,5.21
166,Saldanha,ZA,2021-09-25 06:08:51,-33.0117,17.9442,57.22,78,95,2.33
167,Kpandu,GH,2021-09-25 06:08:52,6.9954,0.2931,74.44,89,100,1.57
168,Kailua,US,2021-09-25 06:08:52,21.4022,-157.7394,75.18,75,90,10.36
169,Port Lincoln,AU,2021-09-25 06:08:53,-34.7333,135.8667,54.81,57,74,10.49
170,Kholodnyy,RU,2021-09-25 06:08:53,62.7167,147.95,48.97,44,97,7.38
171,Port Moresby,PG,2021-09-25 06:08:54,-9.4431,147.1797,80.71,82,60,11.5
172,Pauini,BR,2021-09-25 06:08:54,-7.7136,-66.9764,71.98,93,87,3.62
173,Saskylakh,RU,2021-09-25 06:08:54,71.9167,114.0833,35.01,84,100,16.17
174,Bom Jesus,BR,2021-09-25 06:08:55,-9.0744,-44.3586,73.35,64,32,2.37
175,Ponta Do Sol,PT,2021-09-25 06:08:55,32.6667,-17.1,66.83,69,2,1.66
176,Sao Filipe,CV,2021-09-25 06:08:56,14.8961,-24.4956,77.67,74,55,6.96
177,Ancud,CL,2021-09-25 06:08:56,-41.8697,-73.8203,51.42,88,100,15.5
178,Port Alfred,ZA,2021-09-25 06:08:56,-33.5906,26.891,64.2,66,77,12.1
179,Yellowknife,CA,2021-09-25 06:08:57,62.456,-114.3525,45.41,99,68,11.01
180,Cody,US,2021-09-25 06:08:54,44.5263,-109.0565,57.4,54,1,12.66
181,Qena,EG,2021-09-25 06:08:58,26.1615,32.7183,78.82,35,0,9.55
182,Petropavlovsk-Kamchatskiy,RU,2021-09-25 06:08:58,53.0452,158.6483,52.39,62,75,8.95
183,Vrhnika,SI,2021-09-25 06:08:58,45.9661,14.2956,62.78,93,0,1.97
184,Correia Pinto,BR,2021-09-25 06:08:59,-27.5847,-50.3611,54.41,93,60,4.85
185,Alekseyevka,RU,2021-09-25 06:09:00,50.6309,38.6903,49.39,89,99,5.19
186,Sekoma,BW,2021-09-25 06:09:00,-24.4,23.8833,73.98,15,14,13.2
187,Duluth,US,2021-09-25 06:09:01,46.7833,-92.1066,50.58,74,40,9.22
188,Half Moon Bay,US,2021-09-25 06:09:01,37.4636,-122.4286,66.99,88,90,1.01
189,Caconda,AO,2021-09-25 06:09:02,-13.7333,15.0667,65.05,63,21,1.14
190,Marand,IR,2021-09-25 06:09:02,38.4329,45.7749,64.74,55,10,4.0
191,Naze,JP,2021-09-25 06:09:03,28.3667,129.4833,78.4,81,30,14.03
192,Borba,BR,2021-09-25 06:09:04,-4.3878,-59.5939,72.64,97,99,2.21
193,Karasburg,NA,2021-09-25 06:09:04,-28.0167,18.75,71.51,11,22,8.34
194,Buala,SB,2021-09-25 06:09:05,-8.145,159.5921,84.13,72,44,6.24
195,Dalbandin,PK,2021-09-25 06:09:05,28.8947,64.4101,92.1,7,1,7.05
196,Calabozo,VE,2021-09-25 06:09:06,8.9242,-67.4293,71.2,97,85,2.71
197,Mahina,PF,2021-09-25 06:09:06,-17.5065,-149.489,78.57,69,90,3.44
198,Chokurdakh,RU,2021-09-25 06:09:06,70.6333,147.9167,32.95,97,100,17.65
199,Titlagarh,IN,2021-09-25 06:09:07,20.3,83.15,87.84,65,95,2.44
200,Arraial Do Cabo,BR,2021-09-25 06:09:07,-22.9661,-42.0278,69.08,81,65,24.02
201,Calderitas,MX,2021-09-25 06:09:08,18.55,-88.25,78.91,85,63,5.46
202,Esmeraldas,BR,2021-09-25 06:09:08,-19.7625,-44.3139,63.46,66,84,8.1
203,Kadyy,RU,2021-09-25 06:09:08,57.787,43.1903,48.33,82,57,5.3
204,San Carlos De Bariloche,AR,2021-09-25 06:09:09,-41.1456,-71.3082,52.45,55,0,4.61
205,Cockburn Town,TC,2021-09-25 06:08:44,21.4612,-71.1419,82.35,74,100,5.88
206,Matara,LK,2021-09-25 06:09:10,5.9485,80.5353,82.31,75,94,13.78
207,Port Macquarie,AU,2021-09-25 06:09:10,-31.4333,152.9167,72.37,55,86,13.27
208,Khvastovichi,RU,2021-09-25 06:09:11,53.4694,35.0941,46.54,88,94,5.03
209,Urumqi,CN,2021-09-25 06:07:28,43.801,87.6005,56.35,38,0,8.95
210,Tuktoyaktuk,CA,2021-09-25 06:09:11,69.4541,-133.0374,33.93,98,100,24.0
211,Dayong,CN,2021-09-25 06:09:12,25.0209,118.2898,88.5,53,3,5.77
212,Aswan,EG,2021-09-25 06:09:12,24.0934,32.907,84.65,33,6,16.73
213,Moissala,TD,2021-09-25 06:09:13,8.3404,17.7663,72.9,95,98,4.74
214,Taltal,CL,2021-09-25 06:09:13,-25.4,-70.4833,55.15,86,16,3.42
215,Baruun-Urt,MN,2021-09-25 06:09:14,46.6806,113.2792,71.82,40,89,13.18
216,Kodiak,US,2021-09-25 06:09:14,57.79,-152.4072,39.81,54,1,8.97
217,Brownsville,US,2021-09-25 06:09:15,25.9018,-97.4975,78.91,78,4,5.93
218,Buraydah,SA,2021-09-25 06:09:16,26.326,43.975,87.91,15,20,10.89
219,Mitsamiouli,KM,2021-09-25 06:09:16,-11.3847,43.2844,78.46,69,0,11.18
220,Honningsvag,NO,2021-09-25 06:09:17,70.9821,25.9704,46.2,86,100,12.28
221,Sheltozero,RU,2021-09-25 06:09:17,61.3667,35.3667,46.69,91,100,14.25
222,Hohhot,CN,2021-09-25 06:09:18,40.8106,111.6522,74.5,44,78,8.19
223,Milkovo,RU,2021-09-25 06:09:18,54.7167,158.6167,54.18,61,4,3.02
224,Komsomolskiy,UZ,2021-09-25 06:09:19,40.4272,71.7189,74.62,12,0,4.14
225,Lulea,SE,2021-09-25 06:09:19,65.5842,22.1547,44.67,100,90,1.14
226,Bethel,US,2021-09-25 06:09:20,41.3712,-73.414,59.05,91,1,3.44
227,Verkhnevilyuysk,RU,2021-09-25 06:09:21,63.4453,120.3167,49.26,42,5,6.87
228,Los Algarrobos,PA,2021-09-25 06:09:21,8.5,-82.4333,80.46,89,100,1.16
229,Manuk Mangkaw,PH,2021-09-25 06:09:21,4.8,119.85,83.46,72,64,6.29
230,Hami,CN,2021-09-25 06:09:22,42.8,93.45,68.52,29,15,5.37
231,Saint-Pierre,RE,2021-09-25 06:09:22,-21.3393,55.4781,78.48,62,0,3.44
232,Villagarzon,CO,2021-09-25 06:09:23,1.0375,-76.6267,70.61,82,100,4.43
233,Fortuna,US,2021-09-25 06:09:23,40.5982,-124.1573,54.66,57,33,3.42
